X,Y,Z,Type
755457.2033,2305730.457,1021.4,Divide
757039.0541,2309025.059,740.97,Divide
756725.7321,2309211.737,805.7,Divide
756302.1671,2309288.172,1027.9,Divide
756429.8941,2318565.289,421.81,Divide
750623.2246,2314252.044,1324.2,Divide
750575.1819,2313839.387,1449.2,Divide
757314.1585,2301155.105,258.99,Divide
757058.7044,2301399.651,320.2,Divide
756825.0669,2301666.014,392.23,Divide
741927.958,2319518.329,86.015,Divide
742329.7064,2319420.078,119.04,Divide
742723.7959,2319486.688,139.21,Divide
744030.5422,2320667.873,205.13,Divide
744353.6893,2320491.02,243.97,Divide
744629.877,2320267.208,258.44,Divide
744960.6829,2320156.965,289.81,Divide
745283.8301,2320039.063,323.79,Divide
745632.0433,2319887.276,369.27,Divide
745920.2991,2319675.532,406.24,Divide
746263.0966,2319655.882,448.11,Divide
746527.2927,2319498.679,509.88,Divide
746762.0134,2319233.4,550.96,Divide
746968.2651,2318959.302,589.15,Divide
751861.1947,2303670.346,316.3,Divide
752036.9645,2303994.577,362.71,Divide
752214.9005,2304316.641,453.73,Divide
752431.054,2304600.487,588.8,Divide
752809.9026,2304603.737,740.31,Divide
753177.7662,2304471.6,907.39,Divide
753177.7662,2323576.121,255.04,Divide
753021.6468,2323232.24,272.17,Divide
752873.1862,2322900.351,307.95,Divide
752748.7086,2322583.779,347.48,Divide
752651.5402,2322220.248,433.7,Divide
752534.7214,2321856.718,473.31,Divide
752499.8301,2321529.161,509.74,Divide
755280.3504,2316187.6,763.16,Divide
755358.9517,2315785.852,847.29,Divide
741318.7981,2316177.775,103.12,Divide
741564.4271,2315923.404,116,Divide
741876.6659,2315735.643,129.02,Divide
742229.2885,2315588.265,147.94,Divide
742552.4356,2315411.413,167.48,Divide
742885.4079,2315244.385,189.19,Divide
753433.2203,2315440.888,1092.3,Divide
753336.0519,2315077.357,1137.8,Divide
753081.6809,2314831.728,1146.1,Divide
752788.0093,2314625.4,1220.2,Divide
752509.6553,2314403.754,1357.5,Divide
757098.005,2302324.299,416.42,Divide
756814.1585,2302540.453,489.52,Divide
756491.0114,2302717.306,568.07,Divide
756226.8153,2302953.11,614.81,Divide
743499.9836,2310351.455,115.91,Divide
743950.8578,2310341.63,167.26,Divide
744344.9473,2310408.24,218.73,Divide
744754.3546,2310459.532,278.36,Divide
745146.2778,2310528.308,354.44,Divide
747380.9218,2315706.167,892.07,Divide
747537.0412,2315421.238,914.86,Divide
747754.2779,2315138.474,966.02,Divide
747940.9559,2314825.152,1031.1,Divide
751920.1457,2324814.091,215.2,Divide
751900.4954,2324431.993,250.25,Divide
751920.1457,2324030.244,277.37,Divide
751821.8941,2323707.097,299.43,Divide
751831.7193,2323275.873,332.87,Divide
751802.2438,2322864.3,374.28,Divide
751694.167,2322492.027,416.34,Divide
751645.0412,2322119.754,473.79,Divide
751684.3419,2321776.956,502.38,Divide
751733.4677,2321365.383,538.33,Divide
751723.6425,2320993.11,578.29,Divide
751696.2566,2320638.398,609.52,Divide
751527.1393,2320307.515,658.14,Divide
746221.5529,2306303.489,246.19,Divide
746564.3503,2306421.391,219.69,Divide
746899.4889,2306586.253,287.29,Divide
747279.4207,2306667.02,313.23,Divide
747749.9452,2306696.496,493.5,Divide
748102.5678,2306843.873,658.4,Divide
748422.3887,2307004.402,806.76,Divide
748658.1926,2307268.598,946.65,Divide
740699.813,2315509.664,54.068,Divide
741062.2607,2315372.112,92.193,Divide
741436.7,2315325.152,120.42,Divide
741787.1563,2315313.161,130.06,Divide
742188.9047,2315234.56,149.33,Divide
742527.2927,2315072.948,174.07,Divide
742933.4505,2315038.057,195.95,Divide
750809.9026,2322966.961,380.98,Divide
750898.3291,2322614.338,419.74,Divide
750967.1052,2322242.065,441.06,Divide
750980.1798,2321905.843,475.3,Divide
751114.4826,2321585.946,500.1,Divide
751301.1606,2321272.624,558.02,Divide
751333.9623,2320923.327,568.99,Divide
751399.4122,2320528.078,626.38,Divide
747272.845,2325776.956,106.62,Divide
747478.0902,2325482.202,129.15,Divide
747646.2011,2325150.312,163.17,Divide
747872.1798,2324876.291,183.2,Divide
748058.8578,2324562.969,211.69,Divide
748186.5849,2324210.347,224.13,Divide
748412.5636,2323936.325,245.23,Divide
748540.2907,2323603.353,278.84,Divide
748639.7021,2323242.065,293,Divide
748736.8706,2322858.884,326.03,Divide
748902.8151,2322544.479,347.55,Divide
749061.0241,2322202.688,362.82,Divide
749169.1009,2321850.065,391.96,Divide
749159.2757,2321497.443,444,Divide
749124.4612,2321100.18,479.18,Divide
749257.5273,2320733.246,519.07,Divide
749326.3035,2320341.323,593.27,Divide
749267.3525,2319978.875,675.79,Divide
749159.1223,2319587.106,763.38,Divide
743794.7384,2319930.986,192.37,Divide
744069.8429,2319706.091,228.66,Divide
744411.5571,2319547.805,269.36,Divide
744685.5785,2319321.826,304.81,Divide
744949.7746,2319125.323,332.25,Divide
745213.9708,2318889.519,358.31,Divide
745517.4676,2318693.016,399.31,Divide
745808.8962,2318504.095,428.99,Divide
746152.7768,2318347.976,500.47,Divide
746516.3844,2318211.583,570.08,Divide
746770.7554,2317965.954,621.22,Divide
747044.7767,2317739.976,633.3,Divide
747446.5251,2317700.675,721.5,Divide
747626.5508,2317380.701,821.73,Divide
748835.0455,2310940.965,1353.2,Divide
749256.4442,2310940.965,1415.4,Divide
749640.7086,2310982.432,1467.5,Divide
741397.3993,2318398.261,60.016,Divide
741770.7554,2318524.905,88.003,Divide
742112.4697,2318643.89,104.42,Divide
742445.442,2318496.513,122.71,Divide
742812.2224,2318363.293,148.16,Divide
743121.2117,2318172.283,170.56,Divide
743532.7853,2318103.506,205.72,Divide
743954.184,2318083.856,238.99,Divide
744326.4569,2317956.129,282.35,Divide
744669.2543,2317798.926,320.79,Divide
745100.4782,2317730.15,373.35,Divide
745551.3524,2317681.025,452.42,Divide
745877.6723,2317507.344,507.46,Divide
746162.6019,2317292.274,569,Divide
744394.0731,2311687.677,329.55,Divide
744795.8215,2311726.978,406.22,Divide
745209.5614,2311640.717,533.75,Divide
745618.9687,2311550.125,696.05,Divide
746069.8429,2311540.3,764.81,Divide
744885.3311,2316108.999,423.26,Divide
745198.6531,2315922.321,473.51,Divide
745523.9665,2315747.634,553.07,Divide
745779.4207,2315503.089,617.97,Divide
746118.9687,2315342.636,681.11,Divide
746510.8919,2315234.56,759.62,Divide
746843.8642,2315067.532,815.4,Divide
747216.1371,2314939.805,903.79,Divide
747616.7256,2314879.694,968.82,Divide
747960.6829,2314723.651,1041.9,Divide
750701.8259,2303650.696,322.01,Divide
750790.2523,2304022.969,500.14,Divide
750957.28,2304336.291,628.5,Divide
751065.3568,2304688.914,644.87,Divide
750992.248,2305065.519,764.4,Divide
751011.8216,2305458.526,855.3,Divide
746064.3503,2325875.208,93.993,Divide
746426.7981,2325796.607,105.63,Divide
746700.8194,2325668.88,116.03,Divide
746870.0135,2325416.675,120.98,Divide
747145.1179,2325211.43,138.97,Divide
747420.2224,2325006.185,157.87,Divide
747626.5508,2324712.513,187.15,Divide
747783.7533,2324409.016,220.03,Divide
747911.4804,2324056.394,244.92,Divide
747931.1307,2323693.946,265.88,Divide
748030.3888,2323350.142,285.9,Divide
748068.683,2322969.05,315.16,Divide
748186.5849,2322606.602,355.58,Divide
748314.312,2322234.33,384.95,Divide
748422.3887,2321862.057,430.76,Divide
748543.6936,2321483.361,441.17,Divide
748707.3184,2321146.986,499.5,Divide
748776.0945,2320735.413,581.29,Divide
748756.2907,2320333.818,594.29,Divide
749532.6318,2326012.76,138,Divide
749531.5487,2325629.579,155.95,Divide
749630.8834,2325248.564,180.06,Divide
749732.3845,2324882.867,204.8,Divide
749650.5337,2324562.969,225.03,Divide
749621.0583,2324249.647,247.69,Divide
749552.2821,2323955.976,257.66,Divide
749650.5337,2323573.878,253.84,Divide
749799.071,2323222.415,292.51,Divide
750014.0647,2322957.059,330.62,Divide
750150.6105,2322613.255,372.12,Divide
750397.2459,2322359.89,404.61,Divide
750466.022,2321948.317,428.22,Divide
750633.0497,2321615.344,430.18,Divide
750760.7768,2321243.072,476.32,Divide
750872.2565,2320854.551,521.14,Divide
751085.0071,2320567.302,563.51,Divide
751183.2587,2320204.854,622.12,Divide
748147.2843,2304954.193,214.84,Divide
748535.958,2305026.218,332.41,Divide
748800.1542,2305262.022,438.84,Divide
749011.8983,2305550.278,541.55,Divide
749259.7704,2305802.406,648.52,Divide
749444.2054,2306117.971,797.86,Divide
749571.9325,2306490.244,961.41,Divide
