IX,width_m,length_m
6,825.964,10021.532
6,740.056,10021.532
6,637.126,10021.532
6,593.436,10021.532
6,606.921,10021.532
6,757.371,10021.532
6,848.979,10021.532
6,815.873,10021.532
6,813.93,10021.532
6,753.639,10021.532
6,599.532,10021.532
6,881.44,10021.532
6,854.551,10021.532
6,854.551,10021.532
6,789.813,10021.532
6,273.95,10021.532
6,163.559,10021.532
6,355.031,10021.532
6,376.68,10021.532
6,376.68,10021.532
6,296.779,10021.532
6,787.596,10021.532
6,781.661,10021.532
6,787.597,10021.532
6,776.182,10021.532
6,902.029,10021.532
6,776.18,10021.532
6,799.009,10021.532
6,844.668,10021.532
6,953.215,10021.532
6,981.637,10021.532
6,924.566,10021.532
6,935.448,10021.532
6,1062.233,10021.532
6,1050.122,10021.532
6,1004.465,10021.532
6,981.357,10021.532
6,476.582,10021.532
6,468.046,10021.532
6,376.68,10021.532
6,319.607,10021.532
6,692.974,10021.532
6,641.242,10021.532
6,563.89,10021.532
6,490.824,10021.532
6,776.185,10021.532
6,754.573,10021.532
7,303.815,8638.163
7,204.952,8638.163
7,365.591,8638.163
7,452.025,8638.163
7,457.2,8638.163
7,425.669,8638.163
7,533.355,8638.163
7,596.754,8638.163
7,690.585,8638.163
7,693.674,8638.163
7,448.782,8638.163
7,477.566,8638.163
7,527.355,8638.163
7,539.911,8638.163
7,465.729,8638.163
7,444.717,8638.163
7,515.275,8638.163
7,464.574,8638.163
7,535.093,8638.163
7,495.456,8638.163
7,495.457,8638.163
7,505.366,8638.163
7,709.443,8638.163
7,718.574,8638.163
7,715.702,8638.163
7,732.89,8638.163
7,592.676,8638.163
7,707.087,8638.163
7,690.588,8638.163
7,715.701,8638.163
7,627.806,8638.163
7,604.226,8638.163
7,585.994,8638.163
7,568.025,8638.163
7,707.011,8638.163
7,646.697,8638.163
7,630.469,8638.163
7,602.694,8638.163
7,818.231,8638.163
7,797.776,8638.163
7,797.776,8638.163
7,843.802,8638.163
7,792.66,8638.163
7,797.774,8638.163
7,813.116,8638.163
7,842.326,8638.163
7,759.301,8638.163
7,796.573,8638.163
7,818.131,8638.163
7,809.397,8638.163
7,568.924,8638.163
7,675.038,8638.163
7,690.38,8638.163
7,862.093,8638.163
7,852.184,8638.163
7,723.366,8638.163
7,604.457,8638.163
7,990.911,8638.163
7,961.184,8638.163
7,891.82,8638.163
7,862.093,8638.163
7,973.837,8638.163
7,1027.906,8638.163
7,1061.147,8638.163
7,1020.638,8638.163
7,828.46,8638.163
7,843.802,8638.163
7,928.516,8638.163
7,934.928,8638.163
7,472.964,8638.163
7,415.686,8638.163
7,371.085,8638.163
7,401.799,8638.163
7,599.088,8638.163
7,567.305,8638.163
7,551.792,8638.163
7,514.805,8638.163
7,746.589,8638.163
7,740.816,8638.163
7,654.091,8638.163
7,604.048,8638.163
7,678.034,8638.163
7,639.904,8638.163
7,690.591,8638.163
7,715.703,8638.163
7,305.021,8638.163
7,323.252,8638.163
8,1287.892,11467.301
8,1391.284,11467.301
8,1172.657,11467.301
8,1206.104,11467.301
8,1199.539,11467.301
8,1260.02,11467.301
8,795.131,11467.301
8,786.247,11467.301
8,806.407,11467.301
8,846.728,11467.301
8,907.207,11467.301
8,947.528,11467.301
8,897.127,11467.301
8,826.567,11467.301
8,770.914,11467.301
8,825.979,11467.301
8,881.045,11467.301
8,846.727,11467.301
8,824.798,11467.301
8,821.478,11467.301
8,748.887,11467.301
8,726.862,11467.301
8,1179.374,11467.301
8,1159.214,11467.301
8,1098.733,11467.301
8,1068.493,11467.301
8,1108.812,11467.301
8,1149.133,11467.301
8,1159.213,11467.301
8,1209.614,11467.301
8,1038.68,11467.301
8,1078.571,11467.301
8,1088.651,11467.301
8,1088.652,11467.301
8,816.488,11467.301
8,876.969,11467.301
8,917.289,11467.301
8,954.651,11467.301
8,781.922,11467.301
8,792.935,11467.301
8,814.961,11467.301
8,813.576,11467.301
8,693.817,11467.301
8,708.176,11467.301
8,704.831,11467.301
8,759.833,11467.301
8,521.225,11467.301
8,594.7,11467.301
8,595.826,11467.301
8,658.801,11467.301
8,242.285,11467.301
8,288.365,11467.301
8,341.402,11467.301
8,661.869,11467.301
8,748.886,11467.301
8,831.15,11467.301
8,814.964,11467.301
8,682.807,11467.301
8,726.859,11467.301
8,671.794,11467.301
8,671.794,11467.301
8,506.598,11467.301
8,572.676,11467.301
8,715.846,11467.301
8,717.457,11467.301
8,792.936,11467.301
8,737.871,11467.301
8,679.088,11467.301
8,539.637,11467.301
8,1144.412,11467.301
8,1332.154,11467.301
8,1224.519,11467.301
8,1268.523,11467.301
8,1267.259,11467.301
8,1505.978,11467.301
8,1453.399,11467.301
8,1369.35,11467.301
8,1375.61,11467.301
8,1384.731,11467.301
8,1460.557,11467.301
8,1487.729,11467.301
8,1568.42,11467.301
8,1149.137,11467.301
8,1149.137,11467.301
8,1139.057,11467.301
8,1153.197,11467.301
8,1068.494,11467.301
8,1028.174,11467.301
8,1048.334,11467.301
8,1149.137,11467.301
8,1028.173,11467.301
8,1028.173,11467.301
8,1008.013,11467.301
8,1018.094,11467.301
8,1028.172,11467.301
8,967.692,11467.301
8,957.612,11467.301
8,917.291,11467.301
8,1276.358,11467.301
8,1278.865,11467.301
8,1236.693,11467.301
8,1360.258,11467.301
8,1419.06,11467.301
8,1338.952,11467.301
8,1232.883,11467.301
8,1278.546,11467.301
8,1320.501,11467.301
8,1330.345,11467.301
9,1109.461,12900.651
9,1211.818,12900.651
9,1180.293,12900.651
9,1162.739,12900.651
9,1185.97,12900.651
9,1151.327,12900.651
9,1161.794,12900.651
9,1164.633,12900.651
9,1318.791,12900.651
9,1350.191,12900.651
9,1284.936,12900.651
9,1214.126,12900.651
9,1486.256,12900.651
9,1392.057,12900.651
9,1371.571,12900.651
9,1336.159,12900.651
9,973.398,12900.651
9,847.799,12900.651
9,868.732,12900.651
9,847.798,12900.651
9,1036.198,12900.651
9,1057.131,12900.651
9,1119.931,12900.651
9,1080.306,12900.651
9,1060.218,12900.651
9,1057.131,12900.651
9,1073.453,12900.651
9,1067.598,12900.651
9,1119.929,12900.651
9,1124.945,12900.651
9,1114.344,12900.651
9,1078.064,12900.651
9,2438.71,12900.651
9,2302.646,12900.651
9,2247.115,12900.651
9,2229.381,12900.651
9,2283.976,12900.651
9,2343.3,12900.651
9,2392.737,12900.651
9,2372.963,12900.651
9,2323.525,12900.651
9,2353.187,12900.651
9,2303.751,12900.651
9,2293.864,12900.651
9,2026.901,12900.651
9,2042.482,12900.651
9,2115.889,12900.651
9,2184.691,12900.651
9,1643.254,12900.651
9,1632.788,12900.651
9,1601.388,12900.651
9,1524.75,12900.651
9,1632.786,12900.651
9,1614.09,12900.651
9,1580.454,12900.651
9,1611.854,12900.651
9,1787.689,12900.651
9,1695.586,12900.651
9,1674.653,12900.651
9,1611.853,12900.651
9,2104.191,12900.651
9,1952.934,12900.651
9,1915.383,12900.651
9,1873.517,12900.651
9,1591.855,12900.651
9,1581.968,12900.651
9,1591.855,12900.651
9,1619.472,12900.651
9,1413.883,12900.651
9,1502.869,12900.651
9,1522.643,12900.651
9,1532.531,12900.651
9,1463.32,12900.651
9,1443.545,12900.651
9,1443.545,12900.651
9,1384.221,12900.651
9,1591.853,12900.651
9,1521.246,12900.651
9,1492.981,12900.651
9,1463.32,12900.651
9,1829.154,12900.651
9,1937.915,12900.651
9,1957.69,12900.651
9,1987.352,12900.651
9,2046.673,12900.651
9,1957.688,12900.651
9,1918.14,12900.651
9,1888.478,12900.651
9,1720.392,12900.651
9,1789.603,12900.651
9,1987.35,12900.651
9,2036.787,12900.651
9,1631.405,12900.651
9,1621.518,12900.651
9,1651.18,12900.651
9,1651.18,12900.651
9,1374.334,12900.651
9,2128.951,12900.651
9,2076.327,12900.651
9,1729.745,12900.651
9,1641.289,12900.651
9,1928.019,12900.651
9,2046.665,12900.651
9,2096.101,12900.651
9,2076.327,12900.651
9,1937.547,12900.651
9,1928.018,12900.651
9,1898.357,12900.651
9,1947.793,12900.651
9,1433.657,12900.651
9,1603.546,12900.651
9,1796.364,12900.651
9,1878.582,12900.651
9,701.267,12900.651
9,704.521,12900.651
9,732.667,12900.651
9,685.936,12900.651
9,648.933,12900.651
9,617.533,12900.651
9,596.6,12900.651
9,711.733,12900.651
9,795.466,12900.651
9,669.866,12900.651
9,659.399,12900.651
9,648.933,12900.651
9,879.198,12900.651
9,774.532,12900.651
9,735.995,12900.651
9,784.999,12900.651
10,927.664,6465.847
10,432.797,6465.847
10,422.493,6465.847
10,454.33,6465.847
10,412.188,6465.847
10,494.625,6465.847
10,525.539,6465.847
10,535.844,6465.847
10,514.134,6465.847
10,451.923,6465.847
10,463.711,6465.847
10,447.55,6465.847
10,432.797,6465.847
10,323.29,6465.847
10,319.445,6465.847
10,360.664,6465.847
10,614.657,6465.847
10,772.855,6465.847
10,480.429,6465.847
10,783.16,6465.847
10,865.598,6465.847
10,948.036,6465.847
10,649.198,6465.847
10,721.331,6465.847
10,742.461,6465.847
10,772.855,6465.847
10,535.845,6465.847
10,515.236,6465.847
10,552.383,6465.847
10,610.513,6465.847
10,501.121,6465.847
10,587.368,6465.847
10,540.819,6465.847
10,556.455,6465.847
10,875.904,6465.847
10,993.146,6465.847
10,873.095,6465.847
10,774.872,6465.847
10,1102.609,6465.847
10,1009.866,6465.847
10,886.235,6465.847
10,927.428,6465.847
10,1185.046,6465.847
10,1123.218,6465.847
10,1102.608,6465.847
10,1069.82,6465.847
10,1028.118,6465.847
10,1081.998,6465.847
10,1143.826,6465.847
10,1164.436,6465.847
10,678.219,6465.847
10,785.785,6465.847
10,811.591,6465.847
10,665.734,6465.847
10,818.527,6465.847
10,785.786,6465.847
10,807.613,6465.847
10,694.827,6465.847
10,971.319,6465.847
10,1025.888,6465.847
10,1014.974,6465.847
10,960.405,6465.847
10,785.786,6465.847
10,753.045,6465.847
10,916.751,6465.847
11,235.721,5087.64
11,638.411,5087.64
11,658.055,5087.64
11,638.411,5087.64
11,697.342,5087.64
11,540.194,5087.64
11,638.411,5087.64
11,618.768,5087.64
11,667.877,5087.64
11,491.085,5087.64
11,451.798,5087.64
11,412.512,5087.64
11,471.442,5087.64
11,333.938,5087.64
11,402.69,5087.64
11,471.442,5087.64
11,854.489,5087.64
11,864.311,5087.64
11,864.311,5087.64
11,883.954,5087.64
11,844.667,5087.64
11,864.31,5087.64
11,864.311,5087.64
11,844.667,5087.64
11,883.954,5087.64
11,972.35,5087.64
11,972.35,5087.64
11,874.132,5087.64
11,697.342,5087.64
11,736.629,5087.64
11,785.737,5087.64
11,815.202,5087.64
11,461.62,5087.64
11,491.085,5087.64
11,589.302,5087.64
11,530.372,5087.64
11,343.76,5087.64
11,373.225,5087.64
11,461.62,5087.64
11,481.264,5087.64
11,451.799,5087.64
11,373.225,5087.64
11,333.938,5087.64
11,324.116,5087.64
11,834.846,5087.64
11,756.272,5087.64
11,618.768,5087.64
11,510.729,5087.64
11,432.155,5087.64
11,402.69,5087.64
11,333.938,5087.64
12,954.317,7117.6
12,964.257,7117.6
12,1033.843,7117.6
12,1093.487,7117.6
12,984.14,7117.6
12,1023.903,7117.6
12,984.139,7117.6
12,994.08,7117.6
12,904.613,7117.6
12,874.791,7117.6
12,974.199,7117.6
12,974.199,7117.6
12,894.672,7117.6
12,795.264,7117.6
12,765.442,7117.6
12,878.612,7117.6
12,705.795,7117.6
12,646.15,7117.6
12,646.15,7117.6
12,666.032,7117.6
12,1182.953,7117.6
12,1043.782,7117.6
12,844.966,7117.6
12,755.499,7117.6
12,1282.361,7117.6
12,1342.006,7117.6
12,1351.946,7117.6
12,1381.769,7117.6
12,1063.665,7117.6
12,1103.428,7117.6
12,1153.131,7117.6
12,1212.776,7117.6
12,954.319,7117.6
12,864.851,7117.6
12,924.496,7117.6
12,934.437,7117.6
12,805.206,7117.6
12,894.674,7117.6
12,974.2,7117.6
12,1013.963,7117.6
12,576.568,7117.6
12,626.272,7117.6
12,666.035,7117.6
12,755.502,7117.6
12,526.863,7117.6
12,516.923,7117.6
12,556.686,7117.6
12,666.034,7117.6
12,669.129,7117.6
12,795.264,7117.6
12,835.027,7117.6
12,703.198,7117.6
12,695.857,7117.6
12,685.916,7117.6
12,715.738,7117.6
12,825.088,7117.6
12,765.443,7117.6
12,755.502,7117.6
12,685.916,7117.6
12,974.2,7117.6
12,994.082,7117.6
12,964.259,7117.6
12,861.784,7117.6
12,102.586,7117.6
12,546.742,7117.6
12,467.215,7117.6
12,387.689,7117.6
12,312.409,7117.6
12,566.624,7117.6
12,576.564,7117.6
12,556.683,7117.6
12,516.919,7117.6
13,920.537,4031.302
13,1061.747,4031.302
13,1100.47,4031.302
13,1078.011,4031.302
13,707.446,4031.302
13,669.266,4031.302
13,831.226,4031.302
13,909.573,4031.302
13,437.943,4031.302
13,527.778,4031.302
13,673.758,4031.302
13,673.758,4031.302
13,316.96,4031.302
13,325.65,4031.302
13,403.443,4031.302
13,1313.821,4031.302
13,1212.758,4031.302
13,1156.612,4031.302
13,983.773,4031.302
13,1459.802,4031.302
13,1486.619,4031.302
13,1403.656,4031.302
13,1369.968,4031.302
13,1316.758,4031.302
13,1338.54,4031.302
13,1414.886,4031.302
13,1434.995,4031.302
13,1122.928,4031.302
13,1044.323,4031.302
13,1122.928,4031.302
13,1146.66,4031.302
13,419.077,4031.302
13,280.73,4031.302
13,539.002,4031.302
13,516.544,4031.302
13,539.002,4031.302
13,460.397,4031.302
13,806.605,4031.302
13,782.244,4031.302
13,679.28,4031.302
